Customer,Class,Kcustomer,Location
Customer670,Class01,Local,CDMX
Customer671,Class01,Local,CDMX
Customer672,Class01,Local,CDMX
Customer673,Class01,Local,CDMX
Customer674,Class01,Local,CDMX
Customer675,Class01,Foraneo,MORELOS
Customer676,Class01,Local,CDMX
Customer677,Class01,Local,CDMX
Customer678,Class01,Local,CDMX
Customer679,Class01,Foraneo,EDO.HIDALGO
Customer680,Class01,Local,CDMX
Customer681,Class01,Local,CDMX
Customer682,Class01,Local,EDO MEX
Customer683,Class01,Local,CDMX
Customer684,Class01,Local,CDMX
Customer685,Class01,Local,CDMX
Customer686,Class01,Local,CDMX
Customer687,Class01,Local,CDMX
Customer688,Class01,Local,CDMX
Customer689,Class01,Local,CDMX
Customer690,Class01,Foraneo,HIDALGO
Customer691,Class01,Local,CDMX
Customer692,Class01,Foraneo,OAXACA
Customer693,Class01,Local,CDMX
Customer694,Class01,Local,CDMX
Customer695,Class01,Local,CDMX
Customer696,Class01,Local,EDO MEX
Customer697,Class01,Local,CDMX
Customer698,Class01,Foraneo,NUEVO LEON
Customer699,Class01,Local,CDMX
Customer700,Class01,Foraneo,NUEVO LEON
Customer701,Class01,Local,EDO MEX
Customer702,Class01,Local,CDMX
Customer703,Class01,Local,CDMX
Customer704,Class01,Foraneo,CDMX
Customer705,Class01,Local,CDMX
Customer706,Class01,Foraneo,OAXACA
Customer707,Class01,Local,CDMX
Customer708,Class01,Local,CDMX
Customer709,Class01,Local,CDMX
Customer710,Class01,Local,EDO MEX
Customer711,Class01,Local,CDMX
Customer712,Class01,Local,D. F.
Customer713,Class01,Local,D. F.
Customer714,Class01,Local,D. F.
Customer715,Class01,Local,CDMX
Customer716,Class01,Local,D. F.
Customer717,Class06,Local,D. F.
Customer718,Class01,Local,CDMX
Customer719,Class01,Foraneo,VERACRUZ
Customer720,Class01,Foraneo,PUEBLA
Customer721,Class01,Local,D. F.
Customer722,Class01,Local,D. F.
Customer723,Class01,Local,D. F.
Customer724,Class01,Local,EDO MEX
Customer725,Class01,Foraneo,EDO MEX
Customer726,Class01,Local,D. F.
Customer727,Class01,Local,EDO MEX
Customer728,Class01,Local,EDO MEX
Customer729,Class01,Local,CDMX
Customer730,Class01,Foraneo,D. F.
Customer731,Class01,Local,D. F.
Customer732,Class01,Foraneo,EDO MEX
Customer733,Class01,Local,D. F.
